TextDate,Summary,MarketName,Period,ProfitAndLoss,Transaction type,Reference,Open level,Close level,Size,Currency,PL Amount,Cash transaction,DateUtc,OpenDateUtc,CurrencyIsoCode
04/08/25,,Short Interest for 04/08/25,-,£0.31,DEPO,CS265221608091754347556448164114276,-,0,-,£,0.31,false,2025-08-04T22:45:56,2025-08-04T22:45:56,GBP
04/08/25,,Germany 40 converted at 0.8639384095516799,DFB,£10.37,DEAL,DIAAAAUK2CTBXAP,23755.6,23767.6,+1,£,10.37,false,2025-08-04T17:05:51,2025-08-04T15:37:51,GBP
04/08/25,,Germany 40 converted at 0.863622513385408,DFB,£8.64,DEAL,DIAAAAUKZ4NCEAP,23733.5,23743.5,+1,£,8.64,false,2025-08-04T15:09:59,2025-08-04T15:07:06,GBP
04/08/25,,Germany 40 converted at 0.877250238241104,DFB,£-8.77,DEAL,DIAAAAUKZ4M94AP,23727,23737,-1,£,-8.77,false,2025-08-04T15:06:03,2025-08-04T15:05:19,GBP
04/08/25,,Germany 40 converted at 0.875695539425616,DFB,£-8.76,DEAL,DIAAAAUKZXT6RAP,23745,23735,+1,£,-8.76,false,2025-08-04T14:50:57,2025-08-04T14:44:29,GBP
04/08/25,,Germany 40 converted at 0.862271285149312,DFB,£8.62,DEAL,DIAAAAUKZSKV8AP,23731.3,23741.3,+1,£,8.62,false,2025-08-04T14:26:33,2025-08-04T14:23:00,GBP
04/08/25,,Germany 40 converted at 0.87680765467008,DFB,£-8.77,DEAL,DIAAAAUKZL6HCAP,23714.4,23704.4,+1,£,-8.77,false,2025-08-04T14:09:47,2025-08-04T14:08:36,GBP
04/08/25,,Germany 40 converted at 0.876830535971712,DFB,£-8.77,DEAL,DIAAAAUKZL5Y7AP,23733.8,23723.8,+1,£,-8.77,false,2025-08-04T14:04:31,2025-08-04T14:03:51,GBP
04/08/25,,FTSE 100,DFB,£10.00,DEAL,DIAAAAUKYWK3NAP,9095.2,9085.2,-1,£,10.00,false,2025-08-04T11:01:29,2025-08-04T10:44:27,GBP
04/08/25,,Germany 40 converted at 0.87725787291072,DFB,£-8.77,DEAL,DIAAAAUKYWLHQAP,23722.5,23712.5,+1,£,-8.77,false,2025-08-04T10:53:31,2025-08-04T10:45:53,GBP
04/08/25,,Germany 40 converted at 0.877246420956192,DFB,£-8.77,DEAL,DIAAAAUKYXE7BAP,23726.1,23716.1,+1,£,-8.77,false,2025-08-04T10:53:15,2025-08-04T10:49:49,GBP
04/08/25,,Germany 40 converted at 0.863750348286784,DFB,£8.64,DEAL,DIAAAAUKYN8BKAP,23705.4,23715.4,+1,£,8.64,false,2025-08-04T10:25:12,2025-08-04T10:20:31,GBP
04/08/25,,Germany 40 converted at 0.863630032038112,DFB,£8.64,DEAL,DIAAAAUKYN7VCAP,23701.6,23711.6,+1,£,8.64,false,2025-08-04T10:23:46,2025-08-04T10:19:14,GBP
04/08/25,,FTSE 100,DFB,£10.00,DEAL,DIAAAAUKXSSDGAP,9105.5,9095.5,-1,£,10.00,false,2025-08-04T09:55:00,2025-08-04T08:27:11,GBP
04/08/25,,Germany 40 converted at 0.863171633674112,DFB,£12.08,DEAL,DIAAAAUKX6M4MAP,23724.9,23738.9,+1,£,12.08,false,2025-08-04T09:36:44,2025-08-04T09:14:05,GBP
04/08/25,,Germany 40 converted at 0.8636262726953919,DFB,£8.64,DEAL,DIAAAAUKXZYZAAP,23715.5,23725.5,+1,£,8.64,false,2025-08-04T08:52:08,2025-08-04T08:50:25,GBP
04/08/25,,Germany 40 converted at 0.863630032038112,DFB,£8.64,DEAL,DIAAAAUKXTR8ZAP,23669.3,23679.3,+1,£,8.64,false,2025-08-04T08:36:13,2025-08-04T08:29:44,GBP
04/08/25,,FTSE 100,DFB,£10.00,DEAL,DIAAAAUKXMXVKAP,9101.9,9111.9,+1,£,10.00,false,2025-08-04T08:17:40,2025-08-04T08:10:06,GBP
