market,bid,offer,timestamp
FTSE 100,9102.8,9106.8,2025-08-03T23:09:32.061Z
FTSE 100,9102.9,9106.9,2025-08-03T23:09:32.268Z
FTSE 100,9103,9107,2025-08-03T23:09:41.096Z
FTSE 100,9103.1,9107.1,2025-08-03T23:09:43.294Z
FTSE 100,9103,9107,2025-08-03T23:09:46.664Z
FTSE 100,9102.9,9106.9,2025-08-03T23:09:46.763Z
FTSE 100,9103,9107,2025-08-03T23:09:54.055Z
FTSE 100,9103.1,9107.1,2025-08-03T23:09:54.130Z
FTSE 100,9103.3,9107.3,2025-08-03T23:09:59.601Z
FTSE 100,9103.2,9107.2,2025-08-03T23:10:01.759Z
FTSE 100,9102.9,9106.9,2025-08-03T23:10:01.832Z
FTSE 100,9103,9107,2025-08-03T23:10:02.701Z
FTSE 100,9103.2,9107.2,2025-08-03T23:10:02.799Z
FTSE 100,9103.3,9107.3,2025-08-03T23:10:02.965Z
FTSE 100,9103.2,9107.2,2025-08-03T23:10:05.575Z
FTSE 100,9103.3,9107.3,2025-08-03T23:10:05.845Z
FTSE 100,9103.2,9107.2,2025-08-03T23:10:06.041Z
FTSE 100,9103.1,9107.1,2025-08-03T23:10:06.281Z
FTSE 100,9103.3,9107.3,2025-08-03T23:10:06.540Z
FTSE 100,9103.2,9107.2,2025-08-03T23:10:07.535Z
FTSE 100,9103.1,9107.1,2025-08-03T23:10:07.641Z
FTSE 100,9103,9107,2025-08-03T23:10:11.558Z
FTSE 100,9102.9,9106.9,2025-08-03T23:10:11.663Z
FTSE 100,9102.8,9106.8,2025-08-03T23:10:12.889Z
FTSE 100,9102.7,9106.7,2025-08-03T23:10:12.982Z
FTSE 100,9102.6,9106.6,2025-08-03T23:10:13.101Z
FTSE 100,9102.7,9106.7,2025-08-03T23:10:14.992Z
FTSE 100,9102.6,9106.6,2025-08-03T23:10:19.276Z
FTSE 100,9102.7,9106.7,2025-08-03T23:10:22.549Z
FTSE 100,9102.8,9106.8,2025-08-03T23:10:32.106Z
FTSE 100,9102.9,9106.9,2025-08-03T23:10:32.251Z
FTSE 100,9102.8,9106.8,2025-08-03T23:10:32.885Z
FTSE 100,9102.9,9106.9,2025-08-03T23:10:33.512Z
FTSE 100,9103,9107,2025-08-03T23:10:34.693Z
FTSE 100,9103.1,9107.1,2025-08-03T23:10:34.799Z
FTSE 100,9103,9107,2025-08-03T23:10:40.559Z
FTSE 100,9102.9,9106.9,2025-08-03T23:10:42.224Z
FTSE 100,9103,9107,2025-08-03T23:10:43.142Z
FTSE 100,9102.9,9106.9,2025-08-03T23:10:45.451Z
FTSE 100,9102.8,9106.8,2025-08-03T23:10:45.644Z
FTSE 100,9102.6,9106.6,2025-08-03T23:10:45.744Z
FTSE 100,9102.7,9106.7,2025-08-03T23:10:46.630Z
FTSE 100,9102.8,9106.8,2025-08-03T23:10:49.065Z
FTSE 100,9102.9,9106.9,2025-08-03T23:10:49.309Z
FTSE 100,9102.8,9106.8,2025-08-03T23:10:57.761Z
FTSE 100,9102.9,9106.9,2025-08-03T23:10:59.357Z
FTSE 100,9102.8,9106.8,2025-08-03T23:10:59.592Z
FTSE 100,9102.7,9106.7,2025-08-03T23:11:02.142Z
FTSE 100,9102.6,9106.6,2025-08-03T23:11:02.226Z
FTSE 100,9102.7,9106.7,2025-08-03T23:11:02.368Z
FTSE 100,9102.6,9106.6,2025-08-03T23:11:02.873Z
FTSE 100,9102.7,9106.7,2025-08-03T23:11:07.845Z
FTSE 100,9102.6,9106.6,2025-08-03T23:11:18.730Z
FTSE 100,9102.5,9106.5,2025-08-03T23:11:22.410Z
FTSE 100,9102.4,9106.4,2025-08-03T23:11:22.481Z
FTSE 100,9102.5,9106.5,2025-08-03T23:11:23.209Z
FTSE 100,9102.6,9106.6,2025-08-03T23:11:23.282Z
FTSE 100,9102.7,9106.7,2025-08-03T23:11:24.743Z
FTSE 100,9102.8,9106.8,2025-08-03T23:11:29.133Z
FTSE 100,9102.9,9106.9,2025-08-03T23:11:29.210Z
FTSE 100,9103,9107,2025-08-03T23:11:42.272Z
FTSE 100,9103.3,9107.3,2025-08-03T23:11:42.356Z
FTSE 100,9103.2,9107.2,2025-08-03T23:11:45.097Z
FTSE 100,9103.1,9107.1,2025-08-03T23:11:45.323Z
FTSE 100,9103,9107,2025-08-03T23:11:46.514Z
FTSE 100,9102.9,9106.9,2025-08-03T23:11:46.911Z
FTSE 100,9102.8,9106.8,2025-08-03T23:11:49.353Z
FTSE 100,9102.7,9106.7,2025-08-03T23:11:51.124Z
FTSE 100,9102.6,9106.6,2025-08-03T23:12:02.204Z
FTSE 100,9102.7,9106.7,2025-08-03T23:12:02.947Z
FTSE 100,9102.6,9106.6,2025-08-03T23:12:12.693Z
FTSE 100,9102.5,9106.5,2025-08-03T23:12:12.797Z
FTSE 100,9102.4,9106.4,2025-08-03T23:12:13.945Z
FTSE 100,9102.3,9106.3,2025-08-03T23:12:19.253Z
FTSE 100,9102.2,9106.2,2025-08-03T23:12:19.352Z
FTSE 100,9102.1,9106.1,2025-08-03T23:12:24.710Z
FTSE 100,9102,9106,2025-08-03T23:12:24.811Z
FTSE 100,9101.9,9105.9,2025-08-03T23:12:24.941Z
FTSE 100,9101.6,9105.6,2025-08-03T23:12:25.038Z
FTSE 100,9101.7,9105.7,2025-08-03T23:12:27.405Z
FTSE 100,9101.8,9105.8,2025-08-03T23:12:28.311Z
FTSE 100,9101.7,9105.7,2025-08-03T23:12:32.246Z
FTSE 100,9101.8,9105.8,2025-08-03T23:12:32.627Z
FTSE 100,9101.9,9105.9,2025-08-03T23:12:32.848Z
FTSE 100,9102,9106,2025-08-03T23:12:33.067Z
FTSE 100,9101.9,9105.9,2025-08-03T23:12:33.632Z
FTSE 100,9102,9106,2025-08-03T23:12:35.298Z
FTSE 100,9101.9,9105.9,2025-08-03T23:12:35.534Z
FTSE 100,9101.8,9105.8,2025-08-03T23:12:37.041Z
FTSE 100,9101.7,9105.7,2025-08-03T23:12:37.393Z
FTSE 100,9101.4,9105.4,2025-08-03T23:12:37.494Z
FTSE 100,9101.5,9105.5,2025-08-03T23:12:39.356Z
